step,episode,reward,epsilon,loss,duration
936,1,-19.0,0.9814672,0.0,0.8403267860412598
1753,2,-21.0,0.9652906,0.0,0.5921633243560791
2689,3,-21.0,0.9467578,0.0,0.7633957862854004
3614,4,-20.0,0.9284428,0.0,0.7360670566558838
4466,5,-21.0,0.9115732,0.0,0.653064489364624
5437,6,-21.0,0.8923474,0.025270114952929044,1.5090539455413818
6227,7,-21.0,0.8767054,0.021920059306997933,1.5404975414276123
7031,8,-21.0,0.8607862,0.022261547471891244,1.4945404529571533
8154,9,-19.0,0.8385507999999999,0.023331518688908648,2.0851478576660156
9141,10,-20.0,0.8190082,0.023214114088516095,1.8599958419799805
10037,11,-21.0,0.8012674,0.023305024286498468,1.6974461078643799
11146,12,-19.0,0.7793092,0.022983701563049304,2.138576030731201
12170,13,-21.0,0.759034,0.021727971844299532,1.9588778018951416
13220,14,-21.0,0.7382439999999999,0.019160667582731092,1.9840850830078125
14039,15,-21.0,0.7220278,0.019724560379695593,1.5878338813781738
14826,16,-21.0,0.7064452,0.02281647260666238,1.515897512435913
15650,17,-21.0,0.69013,0.021407467360581155,1.5899622440338135
16654,18,-21.0,0.6702508,0.024600991534031034,1.9979593753814697
17446,19,-21.0,0.6545692000000001,0.026251800442226185,1.5640184879302979
18489,20,-19.0,0.6339178000000001,0.02443881204025731,2.134699821472168
19279,21,-21.0,0.6182758,0.027080400661786377,1.6158356666564941
20394,22,-19.0,0.5961988,0.020355192796593386,2.21073317527771
21152,23,-21.0,0.5811904,0.021106573219616332,1.4890503883361816
22025,24,-20.0,0.563905,0.02056255975645783,1.765918254852295
22983,25,-20.0,0.5449366,0.01715209658104716,2.0217859745025635
23891,26,-21.0,0.5269581999999999,0.018217497277737693,1.8679513931274414
24922,27,-18.0,0.5065444,0.018880801729922448,2.2613065242767334
25964,28,-20.0,0.48591280000000003,0.017080119787581564,2.1507532596588135
26788,29,-21.0,0.46959759999999995,0.018944442398773815,1.7137939929962158
27719,30,-20.0,0.4511638,0.01430703163476147,1.9553241729736328
28744,31,-20.0,0.43086880000000005,0.017016064097963506,2.2813050746917725
29702,32,-20.0,0.41190039999999994,0.015025548130579713,1.993638515472412
30663,33,-20.0,0.3928726,0.015941261691962912,2.0869622230529785
31500,34,-20.0,0.37629999999999997,0.01642808337540676,1.8018105030059814
32319,35,-21.0,0.36008380000000006,0.017192094272068775,1.7581610679626465
33321,36,-19.0,0.3402442,0.01595838649121421,2.208468198776245
34185,37,-20.0,0.323137,0.016003090267380077,1.8319356441497803
35022,38,-20.0,0.30656440000000007,0.016526843315329064,1.8062090873718262
35798,39,-21.0,0.2911996,0.015520586008109996,1.7105960845947266
36618,40,-21.0,0.2749636,0.01709275881379343,1.8274662494659424
37436,41,-21.0,0.2587672,0.01669737418556995,1.798776388168335
38285,42,-21.0,0.24195699999999998,0.01517185966323903,1.9443321228027344
39094,43,-21.0,0.2259388,0.015613643152842133,1.7936065196990967
39914,44,-21.0,0.20970279999999997,0.014615590814160319,1.8035447597503662
40794,45,-21.0,0.19227879999999997,0.015995619878627954,1.9752042293548584
41602,46,-21.0,0.1762804,0.01877514206940345,1.7695443630218506
42444,47,-20.0,0.1596088,0.0170021810468454,1.9031267166137695
43307,48,-20.0,0.14252140000000002,0.014731677765091664,2.043543815612793
44239,49,-20.0,0.12406779999999995,0.017218735948396853,2.168363571166992
45093,50,-21.0,0.10715859999999999,0.016837522010514774,2.0095067024230957
45929,51,-20.0,0.09060580000000007,0.0163734268957446,1.9168782234191895
46859,52,-19.0,0.07219180000000003,0.01683618592806883,2.107853889465332
47733,53,-20.0,0.05488660000000001,0.015890999777416898,2.003683567047119
48790,54,-19.0,0.033958000000000044,0.016036690309137513,2.5082926750183105
49720,55,-20.0,0.015544000000000002,0.014807856942990659,2.1498866081237793
50482,56,-21.0,0.01,0.014221840688811714,1.7930457592010498
51482,57,-21.0,0.01,0.014323037208989262,2.3168489933013916
52243,58,-21.0,0.01,0.01368086598874805,1.829279899597168
53007,59,-21.0,0.01,0.014616250309785974,1.93247652053833
53824,60,-21.0,0.01,0.012193195947173347,1.9554779529571533
54584,61,-21.0,0.01,0.012137905185993173,1.748913049697876
55405,62,-21.0,0.01,0.011606742655176942,1.9437572956085205
56192,63,-21.0,0.01,0.012605660641684106,1.836388111114502
56955,64,-21.0,0.01,0.013526558279868607,1.8531780242919922
57746,65,-21.0,0.01,0.012708266710185191,1.8281011581420898
58685,66,-21.0,0.01,0.011876172008626956,2.2473995685577393
59567,67,-21.0,0.01,0.010088093499970538,2.058368444442749
60502,68,-21.0,0.01,0.010129010345106227,2.1684932708740234
61261,69,-21.0,0.01,0.010674725153704026,1.7618722915649414
62022,70,-21.0,0.01,0.010670959110077666,1.7668399810791016
62779,71,-21.0,0.01,0.009813327076179641,1.8186492919921875
63599,72,-21.0,0.01,0.0089768777737712,1.9002459049224854
64420,73,-21.0,0.01,0.008836950932728868,1.9530267715454102
65177,74,-21.0,0.01,0.009780238662161446,1.7851448059082031
66214,75,-20.0,0.01,0.008997124471903048,2.50715970993042
67022,76,-21.0,0.01,0.008316672729249895,1.8585195541381836
67784,77,-21.0,0.01,0.008155365236205931,1.773362636566162
68667,78,-20.0,0.01,0.008164301670198753,2.0936520099639893
69429,79,-21.0,0.01,0.008892149970432773,1.756194829940796
70191,80,-21.0,0.01,0.007191177982665402,1.7756917476654053
70979,81,-21.0,0.01,0.006855313769579501,1.833284854888916
71826,82,-21.0,0.01,0.008534960454782331,2.1948766708374023
72603,83,-21.0,0.01,0.007961544079211607,1.8949027061462402
73425,84,-21.0,0.01,0.007196036525165608,1.9133756160736084
74448,85,-21.0,0.01,0.007048214007681963,2.4026477336883545
75230,86,-21.0,0.01,0.007598379157626858,1.8327102661132812
76034,87,-21.0,0.01,0.006064319412052557,1.88057279586792
76811,88,-21.0,0.01,0.007898529932099711,1.8472111225128174
77696,89,-21.0,0.01,0.0060082201928273685,2.0264365673065186
78576,90,-21.0,0.01,0.006519585487496277,2.04892635345459
79462,91,-20.0,0.01,0.005973068074896359,2.0137743949890137
80285,92,-21.0,0.01,0.006211658183867293,1.9660108089447021
81171,93,-20.0,0.01,0.006286974318907069,2.1269309520721436
82011,94,-21.0,0.01,0.00485182712298064,1.8936100006103516
82790,95,-21.0,0.01,0.0065467260348109095,1.7847137451171875
83612,96,-21.0,0.01,0.0052951267085182795,1.868091106414795
84373,97,-21.0,0.01,0.005639266322893826,1.67826509475708
85191,98,-21.0,0.01,0.0061680735265790465,2.132850170135498
86162,99,-20.0,0.01,0.0065702138489702475,2.424791097640991
86981,100,-21.0,0.01,0.006736604133393706,1.887300729751587
87740,101,-21.0,0.01,0.005071579784730842,1.7742919921875
88557,102,-21.0,0.01,0.006426563734124762,1.9234540462493896
89337,103,-21.0,0.01,0.005127088850340209,1.9007649421691895
90257,104,-21.0,0.01,0.006192993042160474,2.2001986503601074
91014,105,-21.0,0.01,0.005588408260823045,1.7781267166137695
91835,106,-21.0,0.01,0.005243082014593954,1.879279613494873
92594,107,-21.0,0.01,0.006267525561423482,1.7808427810668945
93352,108,-21.0,0.01,0.006243903468681597,1.8597867488861084
94191,109,-21.0,0.01,0.0054389250166179464,2.014716148376465
95014,110,-21.0,0.01,0.004824036135546212,2.306035041809082
95856,111,-21.0,0.01,0.0050920070078934575,2.4657626152038574
96636,112,-21.0,0.01,0.005876750358117697,1.969923496246338
97469,113,-20.0,0.01,0.005518034884377043,1.941263198852539
98412,114,-21.0,0.01,0.004969421576341551,2.623701810836792
99251,115,-21.0,0.01,0.005855551421192239,2.2160086631774902
100174,116,-21.0,0.01,0.005837712001238921,2.3581130504608154
101082,117,-20.0,0.01,0.0051268300478498445,2.1706109046936035
