episode,reward,steps,length
1,-21.0,790,790
2,-20.0,1713,923
3,-20.0,2547,834
4,-21.0,3485,938
5,-21.0,4490,1005
6,-21.0,5433,943
7,-19.0,6501,1068
8,-21.0,7319,818
9,-21.0,8428,1109
10,-21.0,9486,1058
11,-21.0,10309,823
12,-20.0,11234,925
13,-21.0,12084,850
14,-21.0,12846,762
15,-19.0,13833,987
16,-21.0,14652,819
17,-21.0,15416,764
18,-21.0,16176,760
19,-21.0,16968,792
20,-20.0,17808,840
21,-21.0,18625,817
22,-20.0,19517,892
23,-21.0,20575,1058
24,-19.0,21724,1149
25,-21.0,22548,824
26,-20.0,23531,983
27,-20.0,24480,949
28,-20.0,25382,902
29,-20.0,26224,842
30,-20.0,27062,838
31,-20.0,27899,837
32,-21.0,28740,841
33,-21.0,29623,883
34,-20.0,30454,831
35,-21.0,31241,787
36,-20.0,32223,982
37,-21.0,33108,885
38,-20.0,33945,837
39,-21.0,34721,776
40,-20.0,35584,863
41,-20.0,36484,900
42,-20.0,37378,894
43,-20.0,38334,956
44,-20.0,39170,836
45,-20.0,40066,896
46,-20.0,40950,884
47,-21.0,41834,884
48,-21.0,42596,762
49,-20.0,43515,919
50,-21.0,44326,811
51,-21.0,45264,938
52,-19.0,46253,989
53,-21.0,47092,839
54,-21.0,47918,826
55,-21.0,48682,764
56,-21.0,49444,762
57,-21.0,50204,760
58,-21.0,50965,761
59,-21.0,51757,792
60,-19.0,52837,1080
61,-19.0,53963,1126
62,-21.0,54771,808
63,-19.0,55707,936
64,-21.0,56648,941
65,-21.0,57471,823
66,-21.0,58317,846
67,-20.0,59185,868
68,-21.0,59999,814
69,-21.0,60838,839
70,-21.0,61599,761
71,-19.0,62597,998
72,-21.0,63504,907
73,-20.0,64430,926
74,-20.0,65321,891
75,-20.0,66354,1033
76,-21.0,67114,760
77,-20.0,67982,868
78,-20.0,68820,838
79,-20.0,69862,1042
80,-20.0,70781,919
81,-20.0,71654,873
82,-19.0,72670,1016
83,-20.0,73566,896
84,-21.0,74389,823
85,-21.0,75212,823
86,-20.0,76053,841
87,-20.0,76889,836
88,-21.0,77648,759
89,-20.0,78489,841
90,-21.0,79313,824
91,-21.0,80074,761
92,-21.0,80837,763
93,-20.0,81676,839
94,-20.0,82511,835
95,-21.0,83331,820
96,-21.0,84154,823
97,-21.0,84976,822
98,-20.0,85808,832
99,-20.0,86641,833
100,-20.0,87472,831
101,-21.0,88291,819
102,-20.0,89127,836
103,-21.0,89948,821
104,-21.0,90770,822
105,-21.0,91606,836
106,-21.0,92427,821
107,-20.0,93265,838
108,-21.0,94083,818
109,-21.0,94931,848
110,-21.0,95773,842
111,-21.0,96555,782
112,-20.0,97417,862
113,-21.0,98237,820
114,-20.0,99138,901
115,-20.0,99976,838
116,-20.0,100879,903
117,-20.0,101957,1078
118,-21.0,102779,822
119,-21.0,103604,825
120,-20.0,104436,832
121,-20.0,105278,842
122,-21.0,106101,823
123,-21.0,106925,824
124,-21.0,107744,819
125,-21.0,108534,790
126,-21.0,109436,902
127,-21.0,110257,821
128,-20.0,111324,1067
129,-21.0,112144,820
130,-20.0,113182,1038
131,-21.0,114064,882
132,-21.0,114887,823
133,-21.0,115711,824
134,-20.0,116688,977
135,-21.0,117510,822
136,-21.0,118359,849
137,-20.0,119198,839
138,-20.0,120117,919
139,-20.0,120991,874
140,-18.0,122294,1303
141,-21.0,123072,778
142,-21.0,123891,819
143,-21.0,124709,818
144,-20.0,125550,841
145,-21.0,126494,944
146,-21.0,127344,850
147,-21.0,128193,849
148,-21.0,129018,825
149,-20.0,129936,918
150,-19.0,131073,1137
151,-21.0,132011,938
152,-20.0,133028,1017
153,-20.0,133984,956
154,-21.0,134803,819
155,-21.0,135702,899
156,-21.0,136552,850
157,-20.0,137477,925
158,-21.0,138283,806
159,-21.0,139102,819
160,-20.0,140107,1005
161,-19.0,141040,933
162,-20.0,141981,941
163,-20.0,142885,904
164,-21.0,143706,821
165,-21.0,144483,777
166,-20.0,145473,990
167,-20.0,146429,956
168,-21.0,147277,848
169,-20.0,148151,874
170,-18.0,149315,1164
171,-20.0,150168,853
172,-20.0,151168,1000
173,-20.0,152087,919
174,-20.0,153092,1005
175,-21.0,154023,931
176,-20.0,155046,1023
177,-18.0,156315,1269
178,-20.0,157192,877
179,-21.0,158002,810
180,-20.0,158876,874
181,-20.0,159718,842
182,-20.0,160747,1029
183,-19.0,161833,1086
184,-19.0,162853,1020
185,-20.0,163956,1103
186,-19.0,164935,979
187,-20.0,165850,915
188,-20.0,166804,954
189,-18.0,167940,1136
190,-20.0,168772,832
191,-21.0,169656,884
192,-21.0,170479,823
193,-20.0,171517,1038
194,-20.0,172499,982
195,-21.0,173397,898
196,-20.0,174229,832
197,-20.0,175064,835
198,-21.0,175841,777
199,-20.0,176766,925
200,-20.0,177608,842
201,-20.0,178529,921
202,-21.0,179496,967
203,-20.0,180430,934
204,-21.0,181262,832
205,-20.0,182327,1065
206,-21.0,183149,822
207,-21.0,183934,785
208,-21.0,184757,823
209,-21.0,185543,786
210,-21.0,186366,823
211,-21.0,187241,875
212,-19.0,188244,1003
213,-20.0,189084,840
214,-19.0,190015,931
215,-20.0,190848,833
216,-20.0,191689,841
217,-20.0,192618,929
218,-21.0,193437,819
219,-21.0,194416,979
220,-21.0,195176,760
221,-19.0,196284,1108
222,-20.0,197241,957
223,-20.0,198074,833
224,-20.0,199015,941
225,-20.0,199930,915
226,-19.0,200890,960
227,-20.0,201868,978
228,-20.0,202708,840
229,-20.0,203543,835
230,-21.0,204394,851
231,-20.0,205402,1008
232,-20.0,206239,837
233,-20.0,207132,893
234,-21.0,208014,882
235,-20.0,208846,832
236,-21.0,209670,824
237,-20.0,210502,832
238,-20.0,211340,838
239,-21.0,212118,778
240,-20.0,212950,832
241,-20.0,213787,837
242,-20.0,214622,835
243,-21.0,215379,757
244,-21.0,216141,762
245,-21.0,216898,757
246,-21.0,217657,759
247,-21.0,218421,764
248,-21.0,219178,757
249,-21.0,219940,762
250,-21.0,220700,760
251,-21.0,221585,885
252,-21.0,222436,851
253,-21.0,223215,779
254,-20.0,224117,902
255,-19.0,225182,1065
256,-21.0,226086,904
257,-21.0,226902,816
258,-20.0,227734,832
259,-20.0,228575,841
260,-20.0,229438,863
261,-20.0,230275,837
262,-20.0,231117,842
263,-20.0,231954,837
264,-20.0,232910,956
265,-21.0,233777,867
266,-21.0,234534,757
267,-18.0,235702,1168
268,-21.0,236695,993
269,-20.0,237529,834
270,-21.0,238351,822
271,-21.0,239200,849
272,-21.0,240051,851
273,-21.0,240831,780
274,-21.0,241653,822
275,-20.0,242490,837
276,-21.0,243434,944
277,-21.0,244346,912
278,-21.0,245322,976
279,-21.0,246175,853
280,-21.0,246962,787
281,-21.0,247781,819
282,-20.0,248725,944
283,-21.0,249565,840
284,-21.0,250353,788
285,-20.0,251247,894
286,-19.0,252357,1110
287,-21.0,253403,1046
288,-19.0,254461,1058
289,-19.0,255557,1096
290,-20.0,256393,836
291,-21.0,257213,820
292,-21.0,257996,783
293,-21.0,258779,783
294,-20.0,259660,881
295,-20.0,260828,1168
296,-21.0,261585,757
297,-21.0,262347,762
298,-21.0,263108,761
299,-21.0,263869,761
300,-20.0,264768,899
301,-21.0,265708,940
302,-20.0,266662,954
303,-21.0,267666,1004
304,-21.0,268630,964
305,-21.0,269451,821
306,-20.0,270410,959
307,-20.0,271502,1092
308,-21.0,272470,968
309,-21.0,273232,762
310,-21.0,274102,870
311,-21.0,274989,887
312,-21.0,275836,847
313,-21.0,276657,821
314,-21.0,277541,884
315,-20.0,278373,832
316,-18.0,279460,1087
317,-21.0,280274,814
318,-20.0,281107,833
319,-21.0,282223,1116
320,-21.0,283070,847
321,-19.0,284043,973
322,-21.0,284820,777
323,-21.0,285579,759
324,-20.0,286415,836
325,-21.0,287260,845
326,-20.0,288159,899
327,-21.0,288918,759
328,-21.0,289676,758
329,-21.0,290467,791
330,-21.0,291344,877
331,-20.0,292352,1008
332,-21.0,293158,806
333,-21.0,293982,824
334,-21.0,294946,964
335,-19.0,295939,993
336,-20.0,297051,1112
337,-19.0,297984,933
338,-21.0,298808,824
339,-21.0,299750,942
340,-21.0,300773,1023
341,-20.0,301733,960
342,-20.0,302751,1018
343,-21.0,303631,880
344,-21.0,304394,763
345,-21.0,305218,824
346,-20.0,306135,917
347,-18.0,307204,1069
348,-21.0,308025,821
349,-20.0,309005,980
350,-21.0,309949,944
351,-21.0,310920,971
352,-20.0,311894,974
353,-21.0,312715,821
354,-21.0,313707,992
355,-21.0,314544,837
356,-21.0,315305,761
357,-20.0,316200,895
358,-21.0,317083,883
359,-21.0,317905,822
360,-20.0,318866,961
361,-20.0,319768,902
362,-20.0,320668,900
363,-21.0,321490,822
364,-21.0,322375,885
365,-20.0,323275,900
366,-20.0,324116,841
367,-20.0,325046,930
368,-19.0,326018,972
369,-21.0,326829,811
370,-21.0,327707,878
371,-21.0,328679,972
372,-21.0,329525,846
373,-21.0,330424,899
374,-21.0,331224,800
375,-21.0,332046,822
376,-20.0,333144,1098
377,-21.0,333920,776
378,-20.0,334971,1051
379,-21.0,335761,790
380,-21.0,336657,896
381,-21.0,337508,851
382,-20.0,338421,913
383,-21.0,339263,842
384,-18.0,340344,1081
385,-21.0,341285,941
386,-21.0,342111,826
387,-21.0,343088,977
388,-20.0,344065,977
389,-20.0,344983,918
390,-19.0,346021,1038
391,-21.0,346961,940
392,-21.0,347842,881
393,-21.0,348851,1009
394,-21.0,349900,1049
395,-19.0,350899,999
396,-18.0,352039,1140
397,-20.0,352930,891
398,-21.0,353991,1061
399,-21.0,354795,804
400,-19.0,356104,1309
401,-19.0,357195,1091
402,-21.0,358165,970
403,-20.0,359039,874
404,-21.0,360037,998
405,-21.0,360857,820
406,-20.0,361851,994
407,-21.0,362761,910
408,-19.0,363710,949
409,-21.0,364652,942
410,-21.0,365657,1005
411,-20.0,366769,1112
412,-20.0,367723,954
413,-21.0,368542,819
414,-21.0,369303,761
415,-21.0,370127,824
416,-21.0,371074,947
417,-21.0,371896,822
418,-21.0,372716,820
419,-21.0,373539,823
420,-21.0,374320,781
421,-21.0,375139,819
422,-21.0,375962,823
423,-21.0,376737,775
424,-21.0,377709,972
425,-21.0,378613,904
426,-19.0,379810,1197
427,-20.0,380788,978
428,-21.0,381549,761
429,-21.0,382307,758
430,-21.0,383311,1004
431,-20.0,384394,1083
432,-21.0,385276,882
433,-21.0,386221,945
434,-21.0,387167,946
435,-19.0,388358,1191
436,-21.0,389422,1064
437,-21.0,390263,841
438,-21.0,391115,852
439,-20.0,391952,837
440,-20.0,392940,988
441,-20.0,393856,916
442,-20.0,394774,918
443,-19.0,395705,931
444,-21.0,396589,884
445,-21.0,397377,788
446,-20.0,398215,838
447,-21.0,399035,820
448,-20.0,399916,881
449,-20.0,400748,832
450,-20.0,401612,864
451,-20.0,402476,864
452,-18.0,403474,998
453,-19.0,404414,940
454,-21.0,405292,878
455,-21.0,406253,961
456,-20.0,407194,941
457,-20.0,408138,944
458,-20.0,409088,950
459,-21.0,410012,924
460,-20.0,410877,865
461,-20.0,411714,837
462,-19.0,412753,1039
463,-21.0,413661,908
464,-20.0,414501,840
465,-21.0,415394,893
466,-20.0,416292,898
467,-21.0,417056,764
468,-21.0,417815,759
469,-20.0,418711,896
470,-19.0,419756,1045
471,-16.0,420926,1170
472,-21.0,421705,779
473,-21.0,422514,809
474,-20.0,423349,835
475,-21.0,424111,762
476,-21.0,424875,764
477,-21.0,425639,764
478,-21.0,426402,763
479,-21.0,427166,764
480,-21.0,427924,758
481,-21.0,428771,847
482,-21.0,429533,762
483,-20.0,430429,896
484,-20.0,431445,1016
485,-18.0,432531,1086
486,-19.0,433595,1064
487,-20.0,434433,838
488,-21.0,435330,897
489,-19.0,436336,1006
490,-20.0,437304,968
491,-21.0,438138,834
492,-20.0,439048,910
493,-21.0,439990,942
494,-20.0,440930,940
495,-19.0,441950,1020
496,-15.0,443231,1281
497,-21.0,444066,835
498,-17.0,445201,1135
499,-19.0,446234,1033
500,-20.0,447313,1079
501,-21.0,448136,823
502,-19.0,449145,1009
503,-17.0,450279,1134
504,-19.0,451220,941
505,-19.0,452222,1002
506,-20.0,453171,949
507,-20.0,454012,841
508,-20.0,454968,956
509,-20.0,455925,957
510,-20.0,456789,864
511,-20.0,457627,838
512,-21.0,458386,759
513,-20.0,459290,904
514,-20.0,460155,865
515,-20.0,461122,967
516,-19.0,462193,1071
517,-20.0,463140,947
518,-21.0,464159,1019
519,-21.0,465172,1013
520,-15.0,466525,1353
521,-19.0,467744,1219
522,-15.0,469250,1506
523,-21.0,470174,924
524,-20.0,471045,871
525,-18.0,472383,1338
